#{"t_start": 1646622810.51222, "env_id": null}
r,l,t
1.5,15,18252.66607
-2.5,15,18266.347036
10.0,9,18285.501075
6.0,13,18311.333598
5.0,13,18330.80369
-8.0,15,18371.811698
7.0,12,18403.569901
-1.5,15,18431.783245
7.0,11,18454.297825
7.0,12,18476.42196
-2.5,15,18501.11759
-4.0,15,18520.674086
15.0,2,18529.982764
10.0,9,18549.078365
14.0,4,18562.302798
-8.5,15,18584.952392
13.0,6,18604.13237
-1.0,15,18639.586996
7.0,12,18659.34935
8.0,11,18685.202772
10.0,9,18703.798633
1.5,15,18739.551713
6.0,13,18767.381179
1.5,15,18793.013618
-5.5,15,18827.804188
9.0,10,18849.145372
10.0,9,18867.414849
11.0,7,18890.222982
0.5,15,18918.465748
0.0,15,18951.513572
0.0,15,18974.696996
7.0,11,18991.390255
14.0,5,19007.009488
0.0,15,19038.751907
11.0,8,19058.417235
4.0,15,19084.611382
-1.0,15,19106.96734
0.0,15,19119.682918
1.5,15,19139.466404
7.0,12,19159.311694
-3.0,15,19182.163177
5.0,14,19198.998904
-7.0,15,19217.648391
7.0,12,19240.207298
9.0,10,19259.546422
1.5,15,19275.617356
-4.5,15,19291.869402
-7.0,15,19315.869591
-5.5,15,19334.802802
11.0,7,19350.841178
0.0,15,19370.529234
10.0,8,19389.946949
5.0,14,19427.681695
6.0,13,19447.005396
12.0,7,19466.562273
-3.0,15,19485.830623
0.0,15,19529.914048
0.0,15,19549.02028
-2.5,15,19580.318305
0.0,15,19599.953724
4.0,15,19619.895302
-1.0,15,19636.445668
-1.0,15,19669.190355
6.0,13,19692.222903
-2.5,15,19718.23161
0.0,15,19737.370322
-5.5,15,19762.639548
7.0,12,19788.028814
5.0,13,19803.892069
8.0,11,19826.45521
12.0,6,19839.831163
12.0,7,19864.739394
5.0,13,19884.037373
-7.0,15,19930.70011
8.0,11,19955.840074
6.0,12,19980.651042
13.0,5,19996.705746
-7.0,15,20015.623115
1.5,15,20048.410631
6.0,13,20079.964413
-3.0,15,20107.931401
12.0,7,20127.195686
-3.0,15,20148.681861
-1.5,15,20165.505291
10.0,9,20191.273625
12.0,7,20210.790723
-5.5,15,20247.789344
14.0,4,20260.319416
7.0,12,20288.573969
-5.5,15,20320.908814
14.0,4,20330.419827
-9.5,15,20350.30948
-5.5,15,20369.471237
0.0,15,20392.920757
-2.5,15,20409.596398
5.0,14,20426.273269
5.0,14,20461.646128
-4.0,15,20490.910485
-7.0,15,20532.906065
7.0,11,20548.631577
11.0,8,20564.267582
-4.5,15,20595.931624
1.5,15,20615.581931
1.5,15,20650.139926
-2.5,15,20678.607835
0.0,15,20700.541204
1.5,15,20731.44298
-2.5,15,20751.258004
1.5,15,20780.840142
4.0,15,20804.961229
-1.5,15,20821.018716
11.0,8,20840.028146
1.5,15,20862.816054
-4.0,15,20887.916262
0.0,15,20899.959101
-6.5,15,20910.528874
-6.0,15,20933.651022
10.0,9,20952.313664
-3.0,15,20975.180011
4.0,14,20992.159544
1.5,15,21027.356896
11.0,8,21046.037647
-1.0,15,21071.433152
8.0,10,21096.364215
10.0,9,21118.029294
4.0,14,21134.082865
13.0,5,21153.438816
8.0,11,21176.037477
10.0,9,21200.966261
1.5,15,21238.49422
8.0,11,21263.850092
10.0,9,21289.792295
-4.5,15,21321.871186
-4.5,15,21366.230231
0.5,15,21394.795589
0.0,15,21433.448951
13.0,5,21449.705942
0.0,15,21475.41787
-1.5,15,21491.053879
-3.0,15,21510.357159
8.0,10,21523.694301
-15,15,21561.307631
9.0,10,21580.165446
-1.5,15,21603.029683
4.0,15,21632.039264
14.0,3,21645.496937
1.5,15,21677.130124
-7.0,15,21692.765695
4.0,15,21711.538817
-4.5,15,21746.669346
2.5,15,21768.601501
1.5,15,21797.240786
10.0,8,21812.681414
-5.5,15,21840.484773
6.0,12,21859.796155
3.0,15,21888.850042
-4.0,15,21901.83966
13.0,6,21921.39789
-1.5,15,21944.375287
0.0,15,21969.92755
13.0,5,21985.958163
13.0,5,22002.168401
-4.5,15,22018.016032
12.0,6,22031.748509
0.5,15,22075.638445
-9.5,15,22094.774884
-1.5,15,22113.612718
13.0,5,22126.406619
-3.0,15,22142.923363
-5.5,15,22159.110053
0.0,15,22175.141653
3.0,15,22193.868292
9.0,10,22210.028255
3.0,15,22229.354403
11.0,8,22248.544219
15.0,4,22264.553111
1.5,15,22302.153493
-4.0,15,22343.77849
-5.0,15,22365.087067
-7.0,15,22378.334079
12.0,7,22394.776968
-9.5,15,22416.984942
-2.5,15,22451.294338
8.0,11,22479.493547
2.5,15,22520.511564
10.0,9,22545.079285
6.0,12,22561.603149
11.0,8,22587.631989
-6.0,15,22600.848854
10.0,8,22614.412178
15.0,2,22623.916364
10.0,7,22637.027516
1.5,15,22654.400228
6.0,13,22673.263417
1.5,15,22701.213214
9.0,9,22717.52527
-1.5,15,22752.369297
11.0,8,22777.180953
9.0,10,22794.200848
10.0,9,22813.820016
7.0,12,22833.426659
14.0,4,22846.86965
-2.5,15,22862.82292
-1.0,15,22897.155878
10.0,9,22912.683182
12.0,6,22928.896047
11.0,8,22944.544312
10.0,9,22969.579997
11.0,7,22992.671032
11.0,6,23006.33047
4.0,14,23031.655501
5.0,13,23044.880586
6.0,13,23069.923139
-4.0,15,23089.42427
-4.0,15,23121.844378
0.0,15,23144.404414
1.5,15,23160.640996
-1.5,15,23192.146554
-1.5,15,23205.574052
11.0,8,23222.116151
0.0,15,23238.33833
6.0,13,23261.658768
-2.5,15,23290.349256
-1.5,15,23306.2774
1.5,15,23335.135645
13.0,6,23354.629924
0.0,15,23377.450835
6.0,13,23399.981797
-1.5,15,23424.908274
10.0,9,23444.198507
0.0,15,23469.621238
-4.0,15,23494.49621
-6.5,15,23526.311218
7.0,12,23549.117239
6.0,13,23572.194345
8.0,11,23591.289856
-4.5,15,23615.552729
-4.0,15,23640.625692
-3.0,15,23675.109092
0.5,15,23712.184275
11.0,7,23727.967366
13.0,6,23743.60356
0.0,15,23773.006673
13.0,6,23795.734697
14.0,5,23815.075323
-1.5,15,23843.413017
13.0,6,23862.820706
10.0,9,23879.165676
13.0,5,23892.623054
-4.0,15,23923.895175
9.0,9,23951.983656
-1.0,15,23980.592013
-5.5,15,23993.957378
-4.0,15,24009.947507
6.0,13,24041.523542
6.0,13,24067.068036
13.0,6,24089.668499
7.0,12,24109.235834
13.0,6,24131.446529
11.0,8,24146.98276
1.5,15,24166.811153
14.0,5,24182.588157
13.0,5,24201.725377
5.0,13,24215.43696
8.0,11,24240.231521
-2.5,15,24259.47239
7.0,12,24282.37596
-2.5,15,24294.993809
7.0,12,24320.576253
10.0,9,24346.065434
5.0,14,24362.854215
14.0,5,24379.766755
0.0,15,24396.485565
12.0,5,24413.08626
-5.5,15,24422.792921
5.0,14,24455.602426
-1.5,15,24490.462244
10.0,9,24522.785654
0.0,15,24541.949562
13.0,5,24561.539069
10.0,9,24580.878211
12.0,7,24604.429797
5.0,14,24624.236899
-9.5,15,24637.297702
1.5,15,24662.336176
14.0,5,24678.57371
5.0,13,24704.000034
15.0,2,24713.295407
-1.5,15,24738.530071
2.5,15,24760.757459
8.0,10,24782.827594
13.0,5,24796.32431
0.0,15,24815.309457
9.0,10,24834.326408
11.0,8,24856.719491
12.0,6,24873.160406
-1.5,15,24908.305632
0.0,15,24930.859509
12.0,7,24950.401442
-1.5,15,24985.411986
8.0,11,25005.224405
1.5,15,25050.708228
10.0,8,25063.933587
10.0,8,25080.409994
-4.0,15,25093.279854
9.0,10,25110.556388
0.0,15,25136.0128
-1.0,15,25159.571073
-5.5,15,25194.385196
8.0,9,25208.015748
7.0,12,25227.206388
0.5,15,25249.806092
-4.0,15,25284.027299
-1.0,15,25324.656725
0.0,15,25346.359615
0.0,15,25374.664132
-2.5,15,25400.577843
-2.5,15,25438.763524
1.5,15,25461.325316
-2.0,15,25492.659742
-1.0,15,25518.206029
0.0,15,25543.623881
1.5,15,25571.665773
-7.5,15,25593.972464
4.0,15,25622.111637
-4.5,15,25647.505744
8.0,11,25679.615809
0.0,15,25711.476319
-3.0,15,25749.950946
8.0,11,25781.672335
-2.5,15,25820.48602
1.5,15,25860.394387
1.5,15,25897.084954
9.0,10,25919.05468
11.0,8,25947.31233
